OBJECTID *,A.T. Region Acronym,Trail Club Acronym,Campsite Name,Status,In FMSS?,FMSS Name,FMSS Location ID *,GIS ID,Type of Campsite,Number of Sites,Number of 8x8 Tentsites,Number of Constructed Tent Pads,Predominant Tent Pad Perimeter Material,Number of Constructed Tent Platforms,Predominant Tent Platform Deck Material,Number of Metal Fire Rings,Number of Mortared Fire Rings,Number of Food Boxes,Number of Food Cables,Number of Food Poles,Number of Metal Storage Boxes,Number of Plastic Storage Boxes,Number of Wooden Storage Boxes,Number of Bulletin Boards/Kiosks,Number of Directional/Wayfinding Signs,Number of Educational/Interpretative Signs,Number of Identification/Entrance Signs,Number of Regulatory/Safety Signs,Number of Bollards,Number of Boulders,Number of Cattle Guards,Number of Gates,Number of Stiles,Number of Fences,Total Fence Length Feet,Predominant Fence Material,Photos Taken?,Year Built,Comments,FMSS Quantity,Description,FBMS ID,Optimizer Band,Asset Priority Index,Historic Status,State,County,A.T. Region,Congressional District,Trail_Club,Northern Maintainer Boundary,Southern Maintainer Boundary,A.T. Maintainer Section,Wilderness Area,Ownership,Latitude,Longitude,Maximum PDOP,Maximum HDOP,Correction Type,Receiver Type,GPS Date,GPS Time,Update Status,Feature Name,Datafile,Unfiltered Positions,Filtered Positions,Data Dictionary,GPS Week,GNSS Height,Vertical Precision,Horizontal Precision,Standard Deviation,Point X,Point Y,GFID,Source,Version,Publish?,Creator,Creation Date,Editor,Edit Date,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,GlobalID *,Shape *
112,VARO,NBATC,Johns Hollow Shelter Campsite,Official A.T. Campsite,Yes,NBATC Johns Hollow Shelter Campsite,250618,NA,Designated Campsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1961,,0.008815,NBATC Johns Hollow Shelter Campsite,IB14001000208620001588,1,100,N,Virginia,AMHERST,Virginia,Congressional District 6,Natural Bridge Appalachian Trail Club,Blue Ridge Parkway,John's Hollow Shelter,Blue Ridge Parkway to John's Hollow Shelter,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.61303203,-79.39200767,3,1.1,Uncorrected,Geo 7x,9/2/2015,1:47:29 PM,New,Campsit2,File Not Specified,46,46,AT 2015 Inventory,1860,287.3,50.1,21.6,2.787286,-79.392008,37.613032,{ea6ebcc7-9ae8-4828-ba3e-54c01590a515},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1lI3uj_J5T_c7n-i_Nds_-L_EeK1GbDaT/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1vNXxwoTcjs1dtV-cV0GNcR8g1Ai4fzZ_/view?usp=drivesdk,,,,,,,,,{8750dd29-f60e-49a8-9064-e0934b0ab19c},Point
113,VARO,NBATC,Cove Mtn Shelter Campsite,Official A.T. Campsite,Yes,NBATC Cove Mtn Shelter Campsite,250616,CS456,Designated Campsite,4,4,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1981,,0.005877,NBATC Cove Mtn Shelter Campsite,IB14001000208620001587,1,100,N,Virginia,BOTETOURT,Virginia,Congressional District 6,Natural Bridge Appalachian Trail Club,Jennings Creek,Cove Mt. Shelter,Jennings Creek to Cove Mt. Shelter,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.51434125,-79.65017438,2.2,1.4,Uncorrected,Geo 7x,11/2/2015,2:20:59 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1869,574.273,32.8,21.3,5.388845,-79.650174,37.514341,{0889b9f2-9d8e-424a-8969-c291ca0de197},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1U_XdAEkapZNgRdQ7cY0K1bM6H-6RfvwR/view?usp=drivesdk,https://drive.google.com/file/d/1iL8dex1zkdKwYSMF7nLiSmsZrJhB0-Qt/view?usp=drivesdk,https://drive.google.com/file/d/15zeG4aS2ZdM3JlGxTVcJYYIkvlW4DE8O/view?usp=drivesdk,,,,,,,,{4663ed81-1cb1-481a-99df-309c756faf51},Point
114,VARO,MRATC,Old Orchard Shelter Group Campsite,Official A.T. Campsite,Yes,MRATC Old Orchard Shelter Group Campsite,250611,CS945,Designated Groupsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1970,,0.008815,MRATC Old Orchard Shelter Group Campsite,IB14001000208620001583,1,100,N,Virginia,GRAYSON,Virginia,Congressional District 9,Mount Rogers Appalachian Trail Club,Fox Creek (603),Scales,Fox Creek (603) to Scales,"Y, Lewis Fork Wilderness",FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,36.68359062,-81.51120035,1.6,0.8,Uncorrected,Geo 7x,10/8/2015,2:55:10 PM,New,Campsite,File Not Specified,35,35,AT 2015 Inventory,1865,1210.781,18,14.4,4.88685,-81.5112,36.683591,{9d7decd9-aadd-4d73-a772-f2e1e89de1cf},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/11SkW568BWiJ2IUYZp83EwKYUEvENQkNY/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1j2FeNOoYJBVzxF3whrxFEvHPA9GHoL3L/view?usp=drivesdk,,,,,,,,,{27dd21e8-e693-4810-87a3-bac23d78abd6},Point
115,VARO,NBATC,Matts Creek Shelter Campsite,Official A.T. Campsite,Yes,NBATC Matts Creek Shelter Campsite,250619,CS1050,Designated Campsite,2,2,0,None,0,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1961,,0.002938,NBATC Matts Creek Shelter Campsite,IB14001000208620001590,1,100,N,Virginia,BEDFORD,Virginia,Congressional District 6,Natural Bridge Appalachian Trail Club,Matts Creek Shelter,Sulphur Springs Trail (North Crossing),Matts Creek Shelter to Sulphur Springs Trail (North Crossing),"Y, James River Face Wilderness",FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.59927616,-79.41355292,2.8,1.2,Uncorrected,Geo 7x,11/24/2015,12:32:20 PM,New,Campsite,File Not Specified,34,34,AT 2015 Inventory,1872,223.322,32.3,16,1.520333,-79.413553,37.599276,{5fb83a75-4d5a-47b3-94a1-b850b585c6fe},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1WSXWSQkTyIVneAfdYsR4NAJVBZ8_334C/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1_APHQ_FoWc3f_hJum65OrHEZjAs9ALJL/view?usp=drivesdk,,,,,,,,,{037fd591-e7a5-418f-a21f-78cc043c9ad2},Point
116,VARO,MRATC,Trimpi Shelter Group Campsite,Official A.T. Campsite,Yes,MRATC Trimpi Shelter Group Campsite,250613,CS944,Designated Groupsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1971,,0.008815,MRATC Trimpi Shelter Group Campsite,IB14001000208620001584,1,100,N,Virginia,SMYTH,Virginia,Congressional District 9,Mount Rogers Appalachian Trail Club,VA 670,Dickey Gap,VA 670 to Dickey Gap,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,36.7493377,-81.48007079,3.9,1.1,Uncorrected,Geo 7x,10/22/2015,12:31:48 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1867,847.288,44,17.6,7.171546,-81.480071,36.749338,{5e77c441-705d-4b47-9878-8e4f483fbb8a},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/19yCDeIUcDw-X6ZYznd0nPKcYB3Wx1Iio/view?usp=drivesdk,,,,,,,,,,{f43fbd61-0806-420a-8fe9-80649cfb2926},Point
117,VARO,TATC,Harpers Creek Shelter Campsite,Official A.T. Campsite,Yes,TATC Harpers Creek Shelter Campsite,250639,CS1045,Designated Campsite,10,0,0,None,10,None,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,None,Yes,1960,,0.022957,TATC Harpers Creek Shelter Campsite,IB14001000208620001610,1,100,N,Virginia,NELSON,Virginia,Congressional District 5,Tidewater Appalachian Trail Club,Flat Rock Overlook,Harper’s Creek,Flat Rock Overlook to Harper’s Creek,"Y, Three Ridges Wilderness",FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.85436287,-79.00069511,4.4,1.7,Uncorrected,Geo 7x,10/17/2015,12:35:17 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1866,511.455,48.6,20.7,2.32773,-79.000695,37.854363,{619723f1-51c5-4eaf-b3c1-e5793be74372},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1eOA_5yNPsphxxHNekaE0DBZbtd1lYblH/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1G8GelLt_M6S8_e6mPl62SKxUDn0igqPQ/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15LyoNoZo3Fn6EGMPsTTzUiDSfEf1CnpS/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/11EXS2zeYhLmsyqGN-LJcj8RljQOuertT/view?usp=drivesdk,,,,,,,{739812d0-dad9-4ae2-8254-2e8cef9b2827},Point
118,VARO,PATH,Chatfield Shelter Campsite,Official A.T. Campsite,Yes,PATH Chatfield Shelter Campsite,250627,CS160,Designated Campsite,1,1,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1970,,0.001469,PATH Chatfield Shelter Campsite,IB14001000208620001598,1,100,N,Virginia,SMYTH,Virginia,Congressional District 9,Piedmont Appalachian Trail Hikers,VA 615/Museum,USFS 86,VA 615/Museum to USFS 86,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,36.85040508,-81.36334661,5.3,2.9,Postprocessed Code,Geo 7x,12/30/2015,3:59:45 PM,New,Campsite,File Not Specified,35,35,AT 2015 Inventory,1877,956.482,6,6.9,0.230709,-81.363347,36.850405,{e0c04b65-8ad0-449f-b8cc-69ed8b2429ad},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1TusHXtT-GnSbt-4JXDwn-Abv-cCMKM-E/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1iZq5d7vm0keyicsgRio1w3pnQYSUmQNi/view?usp=drivesdk,,,,,,,,,{7433ebaa-4d72-468c-adf1-05a944a0c149},Point
119,VARO,NBATC,Seeley-Woodworth Shelter Campsite,Official A.T. Campsite,Yes,NBATC Seeley-Woodworth Shelter Campsite,250621,CS1231,Designated Campsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1984,Area between shelter & AT.,0.008815,NBATC Seeley-Woodworth Shelter Campsite,IB14001000208620001592,1,100,N,Virginia,NELSON,Virginia,Congressional District 5,Natural Bridge Appalachian Trail Club,Fish Hatchery Rd,Seeley/Woodworth Shelter,Fish Hatchery Rd to Seeley/Woodworth Shelter,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.81946039,-79.15508693,1.7,0.8,Uncorrected,Geo 7x,11/12/2015,4:47:44 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1870,1126.015,24.1,14.5,1.417911,-79.155087,37.81946,{03b92700-b756-4cc9-bf0c-d5e7f8796964},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1dkIKgl5pnHoN7bpjar3x_TtfyMUO7Nvf/view?usp=drivesdk,https://drive.google.com/file/d/1kDqAyrtnDA7pzeiKj5kiaNdX-yyM8MEI/view?usp=drivesdk,https://drive.google.com/file/d/1tNEp7PhttdJfwwy9tn2rBgDqt1nqiRKh/view?usp=drivesdk,,,,,,,,{fc501620-f55a-4b14-9e9f-d7ce6587a153},Point
120,VARO,NBATC,Punchbowl Shelter Campsite,Official A.T. Campsite,Yes,NBATC Punchbowl Shelter Campsite,250620,NA,Designated Campsite,6,6,0,None,0,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1961,,0.008815,NBATC Punchbowl Shelter Campsite,IB14001000208620001591,1,100,N,Virginia,AMHERST,Virginia,Congressional District 6,Natural Bridge Appalachian Trail Club,Blue Ridge Parkway,John's Hollow Shelter,Blue Ridge Parkway to John's Hollow Shelter,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.67777487,-79.33878697,2.9,2.7,Postprocessed Code,Geo 7x,11/4/2015,10:41:03 AM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1869,760.597,17.5,17.9,28.276823,-79.338787,37.677775,{283bdce5-1d8a-4116-ab60-7f345af081ca},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/12cHklsFVr5DISE8yl8boCW1a5_YQ0T16/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1YxYMrtFkqORMN4Wh3V5YfV8G54e5uQlc/view?usp=drivesdk,,,,,,,,,{8e0f1d56-32a8-446a-85bd-584158ed8c09},Point
121,VARO,NBATC,Brown Mtn Creek Shelter Campsite,Official A.T. Campsite,Yes,NBATC Brown Mtn Creek Shelter Campsite,250614,NA,Designated Campsite,6,6,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1961,,0.008815,NBATC Brown Mtn Creek Shelter Campsite,IB14001000208620001585,1,100,N,Virginia,AMHERST,Virginia,Congressional District 6,Natural Bridge Appalachian Trail Club,US 60,FS Rd. 38,US 60 to FS Rd. 38,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.70889392,-79.26874346,5.1,2.1,Uncorrected,Geo 7x,11/5/2015,10:51:26 AM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1869,399.787,41.1,29.1,2.381625,-79.268743,37.708894,{7608dd68-8485-4182-8081-2c00734bcb6a},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1MyR0Db-9PgZjiSOOSDIEq6GiRrcgP_xu/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1g4UZPeRSZiUyhcPdnZGcr0Jk3uI62UqU/view?usp=drivesdk,,,,,,,,,{3a7cf9c9-a0b8-4534-a8aa-deabdaa35b1e},Point
122,VARO,MRATC,Hurricane Mtn Shelter Campsite,Official A.T. Campsite,Yes,MRATC Hurricane Mtn Shelter Campsite,250609,CS1170,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,2004,,0.004408,MRATC Hurricane Mtn Shelter Campsite,IB14001000208620001579,1,100,N,Virginia,SMYTH,Virginia,Congressional District 9,Mount Rogers Appalachian Trail Club,Dickey Gap,Fox Creek (603),Dickey Gap to Fox Creek (603),N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,36.71420448,-81.50987169,4.1,2,Uncorrected,Geo 7x,10/13/2015,12:37:01 PM,New,Campsite,File Not Specified,40,40,AT 2015 Inventory,1866,1147.633,55.1,26.1,2.14991,-81.509872,36.714204,{09f3ccd9-8488-486f-b85a-446d67489304},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,3/5/2021 2:25:36 PM,https://drive.google.com/file/d/1iZnwIXXQRBEhc7C_Lq3KqkiVbU10xy2F/view?usp=drivesdk,https://drive.google.com/file/d/1BSdYLVyb9tZ0R6SLm6B-dKlCO78qmeUI/view?usp=drivesdk,,,,,,,,,{464749ec-84bf-4ab3-9548-2c4b23abc0d9},Point
123,VARO,RATC,Pig Farm Campsite,Official A.T. Campsite,Yes,RATC Pig Farm Campsite,250637,CS154,Designated Campsite,4,4,0,None,0,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1989,Known locally and on most maps as Pig Farm Campsite.,0.005877,RATC Pig Farm Campsite,IB14001000208620001609,1,100,N,Virginia,ROANOKE,Virginia,Congressional District 9,Roanoke Appalachian Trail Club,Campbell Shelter (McAfee Knob),VA 311,Campbell Shelter (McAfee Knob) to VA 311,N,FEDERAL FEE - NPS APPA,37.39082932,-80.03051448,1.7,0.9,Uncorrected,Geo 7x,9/30/2015,12:39:20 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1864,791.424,32.5,22.9,3.486913,-80.030514,37.390829,{ba5e5519-6181-47e3-9a07-1f6c1e581be6},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1YZCqlf3uNI10gjJzkyh28x_E5BmV9D3G/view?usp=drivesdk,,,,,,,,,,{e705e3cc-7a9b-4b07-84eb-4fb6b4dfdc85},Point
124,VARO,NBATC,Thunder Hill Shelter Upper Campsite,Official A.T. Campsite,Yes,NBATC Thunder Hill Shelter Upper Campsite,250625,NA,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1962,,0.004408,NBATC Thunder Hill Shelter Upper Campsite,IB14001000208620001597,1,100,N,Virginia,BEDFORD,Virginia,Congressional District 6,Natural Bridge Appalachian Trail Club,TR Overlook,Thunder Hill Shelter,TR Overlook to Thunder Hill Shelter,N,FEDERAL FEE - USFS GEORGE WASHINGTON JEFFERSON NF,37.52780507,-79.50380562,1.5,0.9,Uncorrected,Geo 7x,11/5/2015,12:33:29 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1869,1167.913,24,21.9,2.973256,-79.503806,37.527805,{b46c7523-d88a-4302-b9f8-6265f1208e49},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1EV4UiADyMMWos4FUA3R4yz9FDiqg1_Qv/view?usp=drivesdk,,,,,,,,,,{fc44f91e-8767-4779-91f3-2239066a760e},Point
125,VARO,ODATC,Paul C. Wolfe Shelter Campsite,Official A.T. Campsite,Yes,ODATC Paul C. Wolfe Shelter Campsite,250626,CS958,Designated Campsite,6,6,0,None,0,None,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1991,,0.008815,ODATC Paul C. Wolfe Shelter Campsite,IB14001000208620001596,1,100,N,Virginia,NELSON,Virginia,Congressional District 5,Old Dominion Appalachian Trail Club,Rockfish Gap,Mill Creek,Rockfish Gap to Mill Creek,N,FEDERAL FEE - NPS BLRI,37.9852922,-78.8838282,3.6,1.6,Uncorrected,Geo 7x,12/9/2015,12:38:08 PM,New,Campsite,File Not Specified,39,39,AT 2015 Inventory,1874,447.907,41.8,18,0.987453,-78.883828,37.985292,{cb4e8262-df0d-4d60-b86c-c4016f80e476},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1DWc0uGVjE8YIBf0sSWrXLb4iuAUKES2h/view?usp=drivesdk,,,,,,,,,,{2209e0ed-68ba-4117-bb91-a1cb7ca612dd},Point
126,SORO,TEHCC,Stan Murray Shelter Campsite,Official A.T. Campsite,Yes,TEHCC Stan Murray Shelter Campsite,250685,CS829,Designated Campsite,2,2,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1977,,0.002938,TEHCC Stan Murray Shelter Campsite,IB14001000208620001652,1,100,N,North Carolina,AVERY,Southern,Congressional District 5,Tennessee Eastman Hiking and Canoeing Club,Bradley Gap,Stan Murray Shelter,Bradley Gap to Stan Murray Shelter,N,FEDERAL FEE - USFS PISGAH NF,36.11240359,-82.06560925,1.1,0.7,Uncorrected,Geo 7x,10/12/2015,1:55:52 PM,New,Campsite,R101209A_edited.SSF,30,30,AT 2015 Inventory,1866,1515.196,20.3,13.7,1.160294,-82.065609,36.112404,{c8a8a0c6-68dc-4a03-b6e5-5fd5ff50998e},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1GpA7_pDgFAicMCfQ6kj9mpKss3WhsdUA/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1Pi7qOpg01wx3FcybNBIHYDOKlHNIq_6I/view?usp=drivesdk,,,,,,,,,{aa0f1ad5-d7bc-446a-96a4-08d885aa7cb1},Point
127,SORO,TEHCC,Wildermine Group Campsite,Official A.T. Campsite,Yes,TEHCC Wildermine Group Campsite,101949,NA,Designated Groupsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1985,,0.004408,TEHCC Wildermine Group Campsite,IB14001000208620000017,1,100,N,Tennessee,CARTER,Southern,Congressional District 1,Tennessee Eastman Hiking and Canoeing Club,US 19E,Doll Flats,US 19E to Doll Flats,N,FEDERAL FEE - USFS CHEROKEE NF,36.17058861,-82.01195959,3.7,1.5,Uncorrected,Geo 7x,2/3/2016,11:33:02 AM,New,Campsite,R020310A_edited.SSF,40,40,AT 2015 Inventory,1882,922.468,32.9,16.3,1.533198,-82.01196,36.170589,{d39f17b1-33b8-4e23-9d23-9e94e54db65b},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1GKEjUywpKSHMPXOZr4vFv9vGTcfmL4zK/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1SRYPUuSxMTYRT5bVrLri3tUz5yotr4fD/view?usp=drivesdk,,,,,,,,,{7092a077-5eef-457a-8cc0-e3c444e52aa0},Point
128,SORO,GATC,Gooch Mtn Shelter Campsite,Official A.T. Campsite,Yes,GATC Gooch Mtn Shelter Campsite,250648,NA,Designated Campsite,6,0,6,Log,0,None,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,None,Yes,2001,,0.03,GATC Gooch Mtn Shelter Campsite,IB14001000208620001619,1,100,N,Georgia,UNION,Southern,Congressional District 9,Georgia Appalachian Trail Club,Gooch Mtn Shelter,Justus Creek,Gooch Mtn Shelter to Justus Creek,N,FEDERAL FEE - USFS CHATTAHOOCHEE NF,34.65583846,-84.05045671,1.7,1,Uncorrected,Geo 7x,12/17/2015,1:56:17 PM,New,Campsite,R121709A_edited.SSF,30,30,AT 2015 Inventory,1875,809.369,23.9,17.2,5.042077,-84.050457,34.655838,{7cd41b09-19f1-42e9-bec5-341cd5e1de2a},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1ml7CHLaen-vsEzjYPZDNymN4TTEHsCxh/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1gYHp-obd4lTd67C36sz0wKi9JDO8d79F/view?usp=drivesdk,,,,,,,,,{8ce4cbb1-7624-4120-9317-69b9e4b20df2},Point
129,SORO,GATC,Spaniard Knob Campsite,Official A.T. Campsite,Yes,GATC Spaniard Knob Campsite,250660,CS877,Designated Campsite,3,3,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1968,,0.004408,GATC Spaniard Knob Campsite,IB14001000208620001630,1,100,N,Georgia,TOWNS,Southern,Congressional District 9,Georgia Appalachian Trail Club,Blue Mtn,Spaniards Knob Spur,Blue Mtn to Spaniards Knob Spur,"Y, Mark Trail Wilderness",FEDERAL FEE - USFS CHATTAHOOCHEE NF,34.81754496,-83.77596428,3.1,1.2,Uncorrected,Geo 7x,12/4/2015,4:59:20 PM,New,Campsite,R120409A_edited.SSF,30,30,AT 2015 Inventory,1873,1074.353,29,15.6,4.329197,-83.775964,34.817545,{4ef3ee5d-fc1b-4119-88ab-85ee40367e7c},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1F76yayS7FLBJpr5BKe6Lq3eZuF--Yw-j/view?usp=drivesdk,https://drive.google.com/file/d/1ZUuFj69PpfgJZz_WXXTmy3DUPyBFjCkM/view?usp=drivesdk,https://drive.google.com/file/d/13N_iHJt3ZwjIisZpiWnTqtSIOwGVlKK9/view?usp=drivesdk,https://drive.google.com/file/d/1_ICt_MHUBenbu6sVXtXfZX7fgwkZTAI7/view?usp=drivesdk,,,,,,,{1cb28dac-1e87-48d9-b5b8-4de05dd0421b},Point
130,SORO,GATC,Blood Mtn Shelter Campsite 1,Official A.T. Campsite,Yes,GATC Blood Mtn Shelter Campsite 1,250644,CS454,Designated Campsite,2,2,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1968,,0.002938,GATC Blood Mtn Shelter Campsite 1,IB14001000208620001616,1,100,N,Georgia,UNION,Southern,Congressional District 9,Georgia Appalachian Trail Club,Flatrock Gap,Blood Mtn,Flatrock Gap to Blood Mtn,"Y, Blood Mountain Wilderness",FEDERAL FEE - USFS CHATTAHOOCHEE NF,34.74000107,-83.93688901,0.9,0.6,Uncorrected,Geo 7x,12/12/2015,5:51:41 PM,New,Campsite,R121208A_edited.SSF,53,53,AT 2015 Inventory,1874,1319.731,13.6,11.3,0.862457,-83.936889,34.740001,{64c68d55-399c-4504-a973-55b17cc8fb92},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1oLFeiyhIoEgF6je-XLqhzOvgtU-b2F35/view?usp=drivesdk,,,,,,,,,,{4b91f838-2c60-4792-8bca-3569f8d6a6c1},Point
